titulo,fechaEstreno,descripcion,duracion,clasificacion,genero_nombre
The Vietnam War,2017-01-01,10 episodios,0,8,Historico
Apollo 11,2019-01-01,93 minutos,93,15,Historico
Amy,2015-01-01,128 minutos,128,3,Biografico
Steve Jobs: The Man in the Machine,2015-01-01,128 minutos,128,11,Biografico
Planet Earth II,2016-01-01,6 episodios,0,2,Ciencia
An Inconvenient Truth,2006-01-01,96 minutos,96,7,Ciencia
The True Cost,2015-01-01,92 minutos,92,12,Denuncia
Blackfish,2013-01-01,83 minutos,83,18,Denuncia
Hoop Dreams,1994-01-01,171 minutos,171,10,Reportaje
Salesman,1969-01-01,91 minutos,91,5,Reportaje
The Dust Bowl,2012-01-01,4 episodios,0,6,Historico
Man on Wire,2008-01-01,94 minutos,94,14,Biografico
The Farthest: Voyager in Space,2017-01-01,120 minutos,120,17,Ciencia
Citizenfour,2014-01-01,114 minutos,114,4,Denuncia
March of the Penguins,2005-01-01,80 minutos,80,13,Reportaje
Senna,2010-01-01,106 minutos,106,9,Biografico
The Cove,2009-01-01,92 minutos,92,20,Denuncia
Restrepo,2010-01-01,93 minutos,93,1,Reportaje
The Act of Killing,2012-01-01,159 minutos,159,19,Denuncia
Free Solo,2018-01-01,100 minutos,100,16,Reportaje
